,ru_name,poster,kp_rate,imbd_rate,kp_url,ID
170,Ганди,https://kinopoiskapiunofficial.tech/images/posters/kp/513.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/513/,513
171,Белый плен,https://kinopoiskapiunofficial.tech/images/posters/kp/79204.jpg,8.1,8.0,https://www.kinopoisk.ru/film/79204/,79204
172,Звёздные войны: Эпизод 3 – Месть ситхов,https://kinopoiskapiunofficial.tech/images/posters/kp/5619.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/5619/,5619
173,Тот самый Мюнхгаузен,https://kinopoiskapiunofficial.tech/images/posters/kp/77283.jpg,8.1,8.0,https://www.kinopoisk.ru/film/77283/,77283
174,Красота по-американски,https://kinopoiskapiunofficial.tech/images/posters/kp/351.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/351/,351
175,Мой сосед Тоторо,https://kinopoiskapiunofficial.tech/images/posters/kp/8221.jpg,8.1,8.0,https://www.kinopoisk.ru/film/8221/,8221
176,Отец солдата,https://kinopoiskapiunofficial.tech/images/posters/kp/44218.jpg,8.1,8.0,https://www.kinopoisk.ru/film/44218/,44218
177,Андрей Рублев,https://kinopoiskapiunofficial.tech/images/posters/kp/8385.jpg,8.1,8.1,https://www.kinopoisk.ru/film/8385/,8385
178,Индиана Джонс и последний крестовый поход,https://kinopoiskapiunofficial.tech/images/posters/kp/472.jpg,8.1,8.1,https://www.kinopoisk.ru/film/472/,472
179,Человек-слон,https://kinopoiskapiunofficial.tech/images/posters/kp/464.jpg,8.1,8.2,https://www.kinopoisk.ru/film/464/,464
180,Исчезнувшая,https://kinopoiskapiunofficial.tech/images/posters/kp/692861.jpg,8.1,8.1,https://www.kinopoisk.ru/film/692861/,692861
